SURVEY_YEAR,NAME,MEASURE_NAME,COL_START_DATE,COL_END_DATE,RATE,TOTAL,MEASURE_DESCRIPTION,time,CYCLE,state
2024,Alabama,DISPLACED,"January 9, 2024","February 5, 2024",1.1,35576,Adults in households who were displaced from their homes because of a natural disaster in the past year,2024,01,01
2024,Alabama,DISPLACEDTIME,"January 9, 2024","February 5, 2024",28.0,9974,Adults in households who were displaced from their homes for at least one month because of a natural disaster in the past year,2024,01,01
2024,Alabama,EMOTIONAL,"January 9, 2024","February 5, 2024",80.5,2689348,"Adults who reported getting social and emotional support they need sometimes, usually, or always.",2024,01,01
2024,Alabama,ENERGYBILL,"January 9, 2024","February 5, 2024",22.3,681096,Adults in households that were unable to pay an energy bill in full in the last 12 months,2024,01,01
2024,Alabama,EVICTFOR,"January 9, 2024","February 5, 2024",35.4,74726,Adults in households not current on rent or mortgage where eviction or foreclosure in the next two months is either very likely or somewhat likely,2024,01,01
2024,Alabama,EXPENSE,"January 9, 2024","February 5, 2024",39.9,1286801,Adults in households where it has been somewhat or very difficult to pay for usual household expenses in the last 7 days,2024,01,01
2024,Alabama,FOODFORCHLD1,"January 9, 2024","February 5, 2024",43.7,466637,Adults in households where children currently receive food assistance,2024,01,01
2024,Alabama,FOODSCARCE,"January 9, 2024","February 5, 2024",12.5,400107,Adults in households where there was either sometimes or often not enough to eat in the last 7 days,2024,01,01
2024,Alabama,GASIMPACT,"January 9, 2024","February 5, 2024",53.9,1624765,Adults who changed driving behavior in the last 7 days due to the cost of gas,2024,01,01
2024,Alabama,LONELY,"January 9, 2024","February 5, 2024",39.8,1337052,"Adults who reported feeling lonely sometimes, usually, or always.",2024,01,01
2024,Alabama,LONGCOVID_1,"January 9, 2024","February 5, 2024",35.0,552222,"Adults who previously had COVID-19, with symptoms lasting 3 months or longer",2024,01,01
2024,Alabama,PRICEINCR,"January 9, 2024","February 5, 2024",86.8,2824821,Adults who think prices have increased in the area where they live and shop in the last two months,2024,01,01
2024,Alabama,PRICEWORRY,"January 9, 2024","February 5, 2024",82.2,2674217,Adults who are somewhat or very concerned that prices will increase in the next six months,2024,01,01
2024,Alaska,DISPLACED,"January 9, 2024","February 5, 2024",1.5,6804,Adults in households who were displaced from their homes because of a natural disaster in the past year,2024,01,02
2024,Alaska,DISPLACEDTIME,"January 9, 2024","February 5, 2024",85.8,5838,Adults in households who were displaced from their homes for at least one month because of a natural disaster in the past year,2024,01,02
2024,Alaska,EMOTIONAL,"January 9, 2024","February 5, 2024",79.8,379715,"Adults who reported getting social and emotional support they need sometimes, usually, or always.",2024,01,02
2024,Alaska,ENERGYBILL,"January 9, 2024","February 5, 2024",23.5,105814,Adults in households that were unable to pay an energy bill in full in the last 12 months,2024,01,02
2024,Alaska,EVICTFOR,"January 9, 2024","February 5, 2024",35.0,11077,Adults in households not current on rent or mortgage where eviction or foreclosure in the next two months is either very likely or somewhat likely,2024,01,02
2024,Alaska,EXPENSE,"January 9, 2024","February 5, 2024",35.5,166905,Adults in households where it has been somewhat or very difficult to pay for usual household expenses in the last 7 days,2024,01,02
2024,Alaska,FOODFORCHLD1,"January 9, 2024","February 5, 2024",38.5,66131,Adults in households where children currently receive food assistance,2024,01,02
2024,Alaska,FOODSCARCE,"January 9, 2024","February 5, 2024",10.9,50437,Adults in households where there was either sometimes or often not enough to eat in the last 7 days,2024,01,02
2024,Alaska,GASIMPACT,"January 9, 2024","February 5, 2024",53.6,235564,Adults who changed driving behavior in the last 7 days due to the cost of gas,2024,01,02
2024,Alaska,LONELY,"January 9, 2024","February 5, 2024",44.8,213677,"Adults who reported feeling lonely sometimes, usually, or always.",2024,01,02
2024,Alaska,LONGCOVID_1,"January 9, 2024","February 5, 2024",30.5,78848,"Adults who previously had COVID-19, with symptoms lasting 3 months or longer",2024,01,02
2024,Alaska,PRICEINCR,"January 9, 2024","February 5, 2024",80.0,378231,Adults who think prices have increased in the area where they live and shop in the last two months,2024,01,02
2024,Alaska,PRICEWORRY,"January 9, 2024","February 5, 2024",74.7,351761,Adults who are somewhat or very concerned that prices will increase in the next six months,2024,01,02
2024,Arizona,DISPLACED,"January 9, 2024","February 5, 2024",0.4,19313,Adults in households who were displaced from their homes because of a natural disaster in the past year,2024,01,04
