data_type_code,time_slot_id,seasonally_adj,category_code,cell_value,error_data,time,us,series_name,plot_groupings
E_HVR,0,no,RATE,0.1,yes,1999-Q4,1,Error Homeowner Vacancy Rate,Error
RVR,0,no,RATE,8.2,no,1999-Q1,1,Rental Vacancy Rate,Rates
RVR,0,no,RATE,8.1,no,1999-Q2,1,Rental Vacancy Rate,Rates
RVR,0,no,RATE,8.2,no,1999-Q3,1,Rental Vacancy Rate,Rates
RVR,0,no,RATE,7.9,no,1999-Q4,1,Rental Vacancy Rate,Rates
E_RVR,0,no,RATE,0.2,yes,1999-Q1,1,Error Rental Vacancy Rate,Error
E_RVR,0,no,RATE,0.2,yes,1999-Q2,1,Error Rental Vacancy Rate,Error
E_RVR,0,no,RATE,0.2,yes,1999-Q3,1,Error Rental Vacancy Rate,Error
E_RVR,0,no,RATE,0.2,yes,1999-Q4,1,Error Rental Vacancy Rate,Error
SAHOR,0,yes,RATE,66.7,no,1999-Q1,1,Seasonal Adjusted Home Owner Rate,Rates
SAHOR,0,yes,RATE,66.7,no,1999-Q2,1,Seasonal Adjusted Home Owner Rate,Rates
SAHOR,0,yes,RATE,66.8,no,1999-Q3,1,Seasonal Adjusted Home Owner Rate,Rates
SAHOR,0,yes,RATE,66.9,no,1999-Q4,1,Seasonal Adjusted Home Owner Rate,Rates
HOR,0,no,RATE,66.7,no,1999-Q1,1,Homeownership Rate,Rates
HOR,0,no,RATE,66.6,no,1999-Q2,1,Homeownership Rate,Rates
HOR,0,no,RATE,67.0,no,1999-Q3,1,Homeownership Rate,Rates
HOR,0,no,RATE,66.9,no,1999-Q4,1,Homeownership Rate,Rates
E_HOR,0,no,RATE,0.3,yes,1999-Q1,1,Error Homeownership Rate,Error
E_HOR,0,no,RATE,0.3,yes,1999-Q2,1,Error Homeownership Rate,Error
E_HOR,0,no,RATE,0.3,yes,1999-Q3,1,Error Homeownership Rate,Error
E_HOR,0,no,RATE,0.3,yes,1999-Q4,1,Error Homeownership Rate,Error
HVR,0,no,RATE,1.8,no,1999-Q1,1,Homeowner Vacancy Rate,Rates
HVR,0,no,RATE,1.6,no,1999-Q2,1,Homeowner Vacancy Rate,Rates
HVR,0,no,RATE,1.6,no,1999-Q3,1,Homeowner Vacancy Rate,Rates
HVR,0,no,RATE,1.6,no,1999-Q4,1,Homeowner Vacancy Rate,Rates
E_HVR,0,no,RATE,0.1,yes,1999-Q1,1,Error Homeowner Vacancy Rate,Error
E_HVR,0,no,RATE,0.1,yes,1999-Q2,1,Error Homeowner Vacancy Rate,Error
E_HVR,0,no,RATE,0.1,yes,1999-Q3,1,Error Homeowner Vacancy Rate,Error
SALE,0,no,ESTIMATE,1031,no,2000-Q2,1,Vacant Housing Units For Sale,Vacant Inventory
E_HOR,0,no,RATE,0.3,yes,2000-Q1,1,Error Homeownership Rate,Error
E_HVR,0,no,RATE,0.1,yes,2000-Q2,1,Error Homeowner Vacancy Rate,Error
OCC,0,no,ESTIMATE,102274,no,2000-Q2,1,Total Occupied housing Units,Total Housing Units
OCC,0,no,ESTIMATE,102896,no,2000-Q3,1,Total Occupied housing Units,Total Housing Units
OCC,0,no,ESTIMATE,103646,no,2000-Q4,1,Total Occupied housing Units,Total Housing Units
RVR,0,no,RATE,7.9,no,2000-Q1,1,Rental Vacancy Rate,Rates
RVR,0,no,RATE,8.0,no,2000-Q2,1,Rental Vacancy Rate,Rates
RVR,0,no,RATE,8.2,no,2000-Q3,1,Rental Vacancy Rate,Rates
RVR,0,no,RATE,7.8,no,2000-Q4,1,Rental Vacancy Rate,Rates
E_RVR,0,no,RATE,0.2,yes,2000-Q1,1,Error Rental Vacancy Rate,Error
E_RVR,0,no,RATE,0.2,yes,2000-Q2,1,Error Rental Vacancy Rate,Error
E_RVR,0,no,RATE,0.2,yes,2000-Q3,1,Error Rental Vacancy Rate,Error
E_RVR,0,no,RATE,0.2,yes,2000-Q4,1,Error Rental Vacancy Rate,Error
SAHOR,0,yes,RATE,67.1,no,2000-Q1,1,Seasonal Adjusted Home Owner Rate,Rates
SAHOR,0,yes,RATE,67.3,no,2000-Q2,1,Seasonal Adjusted Home Owner Rate,Rates
SAHOR,0,yes,RATE,67.5,no,2000-Q3,1,Seasonal Adjusted Home Owner Rate,Rates
SAHOR,0,yes,RATE,67.5,no,2000-Q4,1,Seasonal Adjusted Home Owner Rate,Rates
OCCUSE,0,no,ESTIMATE,1946,no,2000-Q2,1,Held Off the Market and for Occasional Use,Vacant Inventory
OCCUSE,0,no,ESTIMATE,1856,no,2000-Q3,1,Held Off the Market and for Occasional Use,Vacant Inventory
